,strategy,commission,profit_factor,loss_factor,total_return,return_rate,sharpe,drawdown,volatility,predict_signal,limit_price,predict_take_profit,predict_stop_loss
190,BBANDS,0.0,5.0,5.1,0,0.0,0,0,0,0.0,1296.9,,
191,BBANDS,0.0,5.0,5.6,0,0.0,0,0,0,0.0,1296.9,,
192,BBANDS,0.0,5.0,6.1,0,0.0,0,0,0,0.0,1296.9,,
193,BBANDS,0.0,5.0,6.6,0,0.0,0,0,0,0.0,1296.9,,
194,BBANDS,0.0,5.0,7.1,0,0.0,0,0,0,0.0,1296.9,,
195,BBANDS,0.0,5.0,7.6,0,0.0,0,0,0,0.0,1296.9,,
196,BBANDS,0.0,5.0,8.1,0,0.0,0,0,0,0.0,1296.9,,
197,BBANDS,0.0,5.0,8.6,0,0.0,0,0,0,0.0,1296.9,,
198,BBANDS,0.0,5.0,9.1,0,0.0,0,0,0,0.0,1296.9,,
199,BBANDS,0.0,5.0,9.6,0,0.0,0,0,0,0.0,1296.9,,
200,BBANDS,0.0,5.5,0.1,0,0.0,0,0,0,0.0,1296.9,,
201,BBANDS,0.0,5.5,0.6,0,0.0,0,0,0,0.0,1296.9,,
202,BBANDS,0.0,5.5,1.1,0,0.0,0,0,0,0.0,1296.9,,
203,BBANDS,0.0,5.5,1.6,0,0.0,0,0,0,0.0,1296.9,,
204,BBANDS,0.0,5.5,2.1,0,0.0,0,0,0,0.0,1296.9,,
205,BBANDS,0.0,5.5,2.6,0,0.0,0,0,0,0.0,1296.9,,
206,BBANDS,0.0,5.5,3.1,0,0.0,0,0,0,0.0,1296.9,,
207,BBANDS,0.0,5.5,3.6,0,0.0,0,0,0,0.0,1296.9,,
208,BBANDS,0.0,5.5,4.1,0,0.0,0,0,0,0.0,1296.9,,
209,BBANDS,0.0,5.5,4.6,0,0.0,0,0,0,0.0,1296.9,,
210,BBANDS,0.0,5.5,5.1,0,0.0,0,0,0,0.0,1296.9,,
211,BBANDS,0.0,5.5,5.6,0,0.0,0,0,0,0.0,1296.9,,
212,BBANDS,0.0,5.5,6.1,0,0.0,0,0,0,0.0,1296.9,,
213,BBANDS,0.0,5.5,6.6,0,0.0,0,0,0,0.0,1296.9,,
214,BBANDS,0.0,5.5,7.1,0,0.0,0,0,0,0.0,1296.9,,
215,BBANDS,0.0,5.5,7.6,0,0.0,0,0,0,0.0,1296.9,,
216,BBANDS,0.0,5.5,8.1,0,0.0,0,0,0,0.0,1296.9,,
217,BBANDS,0.0,5.5,8.6,0,0.0,0,0,0,0.0,1296.9,,
218,BBANDS,0.0,5.5,9.1,0,0.0,0,0,0,0.0,1296.9,,
219,BBANDS,0.0,5.5,9.6,0,0.0,0,0,0,0.0,1296.9,,
220,BBANDS,0.0,6.0,0.1,0,0.0,0,0,0,0.0,1296.9,,
221,BBANDS,0.0,6.0,0.6,0,0.0,0,0,0,0.0,1296.9,,
222,BBANDS,0.0,6.0,1.1,0,0.0,0,0,0,0.0,1296.9,,
223,BBANDS,0.0,6.0,1.6,0,0.0,0,0,0,0.0,1296.9,,
224,BBANDS,0.0,6.0,2.1,0,0.0,0,0,0,0.0,1296.9,,
225,BBANDS,0.0,6.0,2.6,0,0.0,0,0,0,0.0,1296.9,,
226,BBANDS,0.0,6.0,3.1,0,0.0,0,0,0,0.0,1296.9,,
227,BBANDS,0.0,6.0,3.6,0,0.0,0,0,0,0.0,1296.9,,
228,BBANDS,0.0,6.0,4.1,0,0.0,0,0,0,0.0,1296.9,,
229,BBANDS,0.0,6.0,4.6,0,0.0,0,0,0,0.0,1296.9,,
230,BBANDS,0.0,6.0,5.1,0,0.0,0,0,0,0.0,1296.9,,
231,BBANDS,0.0,6.0,5.6,0,0.0,0,0,0,0.0,1296.9,,
232,BBANDS,0.0,6.0,6.1,0,0.0,0,0,0,0.0,1296.9,,
233,BBANDS,0.0,6.0,6.6,0,0.0,0,0,0,0.0,1296.9,,
234,BBANDS,0.0,6.0,7.1,0,0.0,0,0,0,0.0,1296.9,,
235,BBANDS,0.0,6.0,7.6,0,0.0,0,0,0,0.0,1296.9,,
236,BBANDS,0.0,6.0,8.1,0,0.0,0,0,0,0.0,1296.9,,
237,BBANDS,0.0,6.0,8.6,0,0.0,0,0,0,0.0,1296.9,,
238,BBANDS,0.0,6.0,9.1,0,0.0,0,0,0,0.0,1296.9,,
239,BBANDS,0.0,6.0,9.6,0,0.0,0,0,0,0.0,1296.9,,
